"TIME","GEO","HHTYP","INCGRP","UNIT","Value"
"2012","Estonia","Total","Total","Percentage","12.8"
"2012","Greece","Total","Total","Percentage","25.1"
"2012","Spain","Total","Total","Percentage","15.0"
"2012","Finland","Total","Total","Percentage","14.2"
"2012","France","Total","Total","Percentage","17.0"
"2012","Croatia","Total","Total","Percentage","10.1"
"2012","Hungary","Total","Total","Percentage","10.1"
"2012","Ireland","Total","Total","Percentage","9.0"
"2012","Iceland","Total","Total","Percentage","11.1"
"2012","Italy","Total","Total","Percentage","17.9"
"2012","Lithuania","Total","Total","Percentage","13.3"
"2012","Luxembourg","Total","Total","Percentage","17.0"
"2012","Latvia","Total","Total","Percentage","15.4"
"2012","North Macedonia","Total","Total","Percentage","9.7"
"2012","Malta","Total","Total","Percentage","29.7"
"2012","Netherlands","Total","Total","Percentage","24.2"
"2012","Norway","Total","Total","Percentage","10.8"
"2012","Poland","Total","Total","Percentage","14.2"
"2012","Portugal","Total","Total","Percentage","23.8"
"2012","Romania","Total","Total","Percentage","26.4"
"2012","Serbia","Total","Total","Percentage",":"
"2012","Sweden","Total","Total","Percentage","13.8"
"2012","Slovenia","Total","Total","Percentage","13.8"
"2012","Slovakia","Total","Total","Percentage","16.0"
"2012","Turkey","Total","Total","Percentage","16.0"
"2012","United Kingdom","Total","Total","Percentage","18.2"
"2013","Austria","Total","Total","Percentage","18.9"
"2013","Belgium","Total","Total","Percentage","17.5"
"2013","Bulgaria","Total","Total","Percentage","11.1"
"2013","Switzerland","Total","Total","Percentage","15.7"
"2013","Cyprus","Total","Total","Percentage","26.2"
"2013","Czechia","Total","Total","Percentage","14.9"
"2013","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage","26.1"
"2013","Denmark","Total","Total","Percentage","15.6"
"2013","Estonia","Total","Total","Percentage","10.8"
"2013","Greece","Total","Total","Percentage","24.2"
"2013","Spain","Total","Total","Percentage","18.3"
"2013","Finland","Total","Total","Percentage","13.4"
"2013","France","Total","Total","Percentage","16.2"
"2013","Croatia","Total","Total","Percentage","10.0"
"2013","Hungary","Total","Total","Percentage","12.8"
"2013","Ireland","Total","Total","Percentage","9.4"
"2013","Iceland","Total","Total","Percentage","11.6"
"2013","Italy","Total","Total","Percentage","18.1"
"2013","Lithuania","Total","Total","Percentage","14.1"
"2013","Luxembourg","Total","Total","Percentage","18.5"
"2013","Latvia","Total","Total","Percentage","14.8"
"2013","North Macedonia","Total","Total","Percentage","7.7"
"2013","Malta","Total","Total","Percentage","31.0"
"2013","Netherlands","Total","Total","Percentage","24.1"
"2013","Norway","Total","Total","Percentage","11.7"
"2013","Poland","Total","Total","Percentage","14.0"
"2013","Portugal","Total","Total","Percentage","22.7"
"2013","Romania","Total","Total","Percentage","26.4"
"2013","Serbia","Total","Total","Percentage","12.7"
"2013","Sweden","Total","Total","Percentage","12.9"
"2013","Slovenia","Total","Total","Percentage","12.3"
"2013","Slovakia","Total","Total","Percentage","15.1"
"2013","Turkey","Total","Total","Percentage","16.4"
"2013","United Kingdom","Total","Total","Percentage","17.0"
"2014","Austria","Total","Total","Percentage","17.5"
"2014","Belgium","Total","Total","Percentage","18.1"
"2014","Bulgaria","Total","Total","Percentage","11.7"
"2014","Switzerland","Total","Total","Percentage","17.7"
"2014","Cyprus","Total","Total","Percentage","19.2"
"2014","Czechia","Total","Total","Percentage","13.7"
"2014","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage","25.9"
"2014","Denmark","Total","Total","Percentage","16.4"
"2014","Estonia","Total","Total","Percentage","10.5"
"2014","Greece","Total","Total","Percentage","19.7"
"2014","Spain","Total","Total","Percentage","15.9"
"2014","Finland","Total","Total","Percentage","13.0"
"2014","France","Total","Total","Percentage","16.9"
"2014","Croatia","Total","Total","Percentage","8.9"
"2014","Hungary","Total","Total","Percentage","13.8"
"2014","Ireland","Total","Total","Percentage","9.1"
"2014","Iceland","Total","Total","Percentage","12.1"
"2014","Italy","Total","Total","Percentage","17.6"
"2014","Lithuania","Total","Total","Percentage","14.4"
"2014","Luxembourg","Total","Total","Percentage","19.1"
"2014","Latvia","Total","Total","Percentage","15.3"
"2014","North Macedonia","Total","Total","Percentage","7.7"
"2014","Malta","Total","Total","Percentage","30.6"
"2014","Netherlands","Total","Total","Percentage","25.0"
"2014","Norway","Total","Total","Percentage","10.1"
"2014","Poland","Total","Total","Percentage","13.4"
"2014","Portugal","Total","Total","Percentage","23.6"
"2014","Romania","Total","Total","Percentage","23.6"
"2014","Serbia","Total","Total","Percentage","12.4"
"2014","Sweden","Total","Total","Percentage","13.2"
"2014","Slovenia","Total","Total","Percentage","13.2"
"2014","Slovakia","Total","Total","Percentage","14.0"
"2014","Turkey","Total","Total","Percentage","15.5"
"2014","United Kingdom","Total","Total","Percentage","17.4"
"2015","Austria","Total","Total","Percentage","17.5"
"2015","Belgium","Total","Total","Percentage","18.0"
"2015","Bulgaria","Total","Total","Percentage","9.7"
"2015","Switzerland","Total","Total","Percentage","17.7"
"2015","Cyprus","Total","Total","Percentage","17.2"
"2015","Czechia","Total","Total","Percentage","13.9"
"2015","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage","25.8"
"2015","Denmark","Total","Total","Percentage","16.5"
"2015","Estonia","Total","Total","Percentage","9.4"
"2015","Greece","Total","Total","Percentage","19.2"
"2015","Spain","Total","Total","Percentage","15.7"
"2015","Finland","Total","Total","Percentage","11.7"
"2015","France","Total","Total","Percentage","16.4"
"2015","Croatia","Total","Total","Percentage","8.3"
"2015","Hungary","Total","Total","Percentage","13.7"
"2015","Ireland","Total","Total","Percentage","8.0"
"2015","Iceland","Total","Total","Percentage","11.4"
"2015","Italy","Total","Total","Percentage","18.3"
"2015","Lithuania","Total","Total","Percentage","15.4"
"2015","Luxembourg","Total","Total","Percentage","20.1"
"2015","Latvia","Total","Total","Percentage","14.6"
"2015","North Macedonia","Total","Total","Percentage","7.5"
"2015","Malta","Total","Total","Percentage","24.6"
"2015","Netherlands","Total","Total","Percentage","24.7"
"2015","Norway","Total","Total","Percentage","10.2"
"2015","Poland","Total","Total","Percentage","12.4"
"2015","Portugal","Total","Total","Percentage","23.0"
"2015","Romania","Total","Total","Percentage","22.2"
"2015","Serbia","Total","Total","Percentage","13.1"
"2015","Sweden","Total","Total","Percentage","12.6"
"2015","Slovenia","Total","Total","Percentage","12.9"
"2015","Slovakia","Total","Total","Percentage","12.8"
"2015","Turkey","Total","Total","Percentage","16.8"
"2015","United Kingdom","Total","Total","Percentage","16.5"
"2016","Austria","Total","Total","Percentage","17.3"
"2016","Belgium","Total","Total","Percentage","15.6"
"2016","Bulgaria","Total","Total","Percentage","10.0"
"2016","Switzerland","Total","Total","Percentage","17.8"
"2016","Cyprus","Total","Total","Percentage","15.6"
"2016","Czechia","Total","Total","Percentage","14.5"
"2016","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage","25.1"
"2016","Denmark","Total","Total","Percentage","18.3"
"2016","Estonia","Total","Total","Percentage","10.4"
"2016","Greece","Total","Total","Percentage","19.9"
"2016","Spain","Total","Total","Percentage","16.2"
"2016","Finland","Total","Total","Percentage","12.0"
"2016","France","Total","Total","Percentage","17.7"
"2016","Croatia","Total","Total","Percentage","8.5"
"2016","Hungary","Total","Total","Percentage","12.2"
"2016","Ireland","Total","Total","Percentage","7.9"
"2016","Iceland","Total","Total","Percentage","10.8"
"2016","Italy","Total","Total","Percentage","16.2"
"2016","Lithuania","Total","Total","Percentage","13.4"
"2016","Luxembourg","Total","Total","Percentage","19.7"
"2016","Latvia","Total","Total","Percentage","13.3"
"2016","North Macedonia","Total","Total","Percentage","7.4"
"2016","Malta","Total","Total","Percentage","26.2"
"2016","Netherlands","Total","Total","Percentage","24.9"
"2016","Norway","Total","Total","Percentage","10.1"
"2016","Poland","Total","Total","Percentage","13.0"
"2016","Portugal","Total","Total","Percentage","23.1"
"2016","Romania","Total","Total","Percentage","20.3"
"2016","Serbia","Total","Total","Percentage","12.2"
"2016","Sweden","Total","Total","Percentage","17.1"
"2016","Slovenia","Total","Total","Percentage","13.4"
"2016","Slovakia","Total","Total","Percentage","12.1"
"2016","Turkey","Total","Total","Percentage","15.7"
"2016","United Kingdom","Total","Total","Percentage","17.0"
"2017","Austria","Total","Total","Percentage","17.9"
"2017","Belgium","Total","Total","Percentage","15.4"
"2017","Bulgaria","Total","Total","Percentage","9.8"
"2017","Switzerland","Total","Total","Percentage",":"
"2017","Cyprus","Total","Total","Percentage","16.9"
"2017","Czechia","Total","Total","Percentage","13.6"
"2017","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage","26.1"
"2017","Denmark","Total","Total","Percentage","18.8"
"2017","Estonia","Total","Total","Percentage","8.2"
"2017","Greece","Total","Total","Percentage","20.1"
"2017","Spain","Total","Total","Percentage","15.2"
"2017","Finland","Total","Total","Percentage","12.5"
"2017","France","Total","Total","Percentage","16.8"
"2017","Croatia","Total","Total","Percentage","8.6"
"2017","Hungary","Total","Total","Percentage","11.0"
"2017","Ireland","Total","Total","Percentage","9.0"
"2017","Iceland","Total","Total","Percentage",":"
"2017","Italy","Total","Total","Percentage","12.5"
"2017","Lithuania","Total","Total","Percentage","13.2"
"2017","Luxembourg","Total","Total","Percentage","21.6"
"2017","Latvia","Total","Total","Percentage","14.1"
"2017","North Macedonia","Total","Total","Percentage","5.6"
"2017","Malta","Total","Total","Percentage","24.9"
"2017","Netherlands","Total","Total","Percentage","25.6"
"2017","Norway","Total","Total","Percentage","10.8"
"2017","Poland","Total","Total","Percentage","12.4"
"2017","Portugal","Total","Total","Percentage","23.5"
"2017","Romania","Total","Total","Percentage","19.3"
"2017","Serbia","Total","Total","Percentage","10.1"
"2017","Sweden","Total","Total","Percentage","16.9"
"2017","Slovenia","Total","Total","Percentage","13.3"
"2017","Slovakia","Total","Total","Percentage","12.8"
"2017","Turkey","Total","Total","Percentage",":"
"2017","United Kingdom","Total","Total","Percentage","17.3"
"2018","Austria","Total","Total","Percentage",":"
"2018","Belgium","Total","Total","Percentage",":"
"2018","Bulgaria","Total","Total","Percentage",":"
"2018","Switzerland","Total","Total","Percentage",":"
"2018","Cyprus","Total","Total","Percentage",":"
"2018","Czechia","Total","Total","Percentage",":"
"2018","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage",":"
"2018","Denmark","Total","Total","Percentage","18.2"
"2018","Estonia","Total","Total","Percentage",":"
"2018","Greece","Total","Total","Percentage",":"
"2018","Spain","Total","Total","Percentage",":"
"2018","Finland","Total","Total","Percentage","13.4"
"2018","France","Total","Total","Percentage",":"
"2018","Croatia","Total","Total","Percentage",":"
"2018","Hungary","Total","Total","Percentage","8.5"
"2018","Ireland","Total","Total","Percentage",":"
"2018","Iceland","Total","Total","Percentage",":"
"2018","Italy","Total","Total","Percentage",":"
"2018","Lithuania","Total","Total","Percentage",":"
"2018","Luxembourg","Total","Total","Percentage",":"
"2018","Latvia","Total","Total","Percentage","13.7"
"2018","North Macedonia","Total","Total","Percentage",":"
"2018","Malta","Total","Total","Percentage",":"
"2018","Netherlands","Total","Total","Percentage",":"
"2018","Norway","Total","Total","Percentage",":"
"2018","Poland","Total","Total","Percentage",":"
"2018","Portugal","Total","Total","Percentage",":"
"2018","Romania","Total","Total","Percentage",":"
"2018","Serbia","Total","Total","Percentage",":"
"2018","Sweden","Total","Total","Percentage",":"
"2018","Slovenia","Total","Total","Percentage",":"
"2018","Slovakia","Total","Total","Percentage",":"
"2018","Turkey","Total","Total","Percentage",":"
"2018","United Kingdom","Total","Total","Percentage",":"
